,Lasso train_score,Ridge train_score,Lasso test_score,Ridge test_score,Lasso MSE,Ridge MSE,Lasso RMSE,Ridge RMSE
off_acc,0.45217296377118676,0.4520319199371351,0.33193422027770014,0.33212562625124753,79086078.31410901,991334.188760358,8893.035382483813,995.6576664498486
off_cul,0.3077433381893079,0.3070523294418227,0.3524615997010603,0.3463332115593363,3874124.91442439,3874128.2746998235,1968.279683994221,1968.2805376012393
off_food,0.2948545314603762,0.2930714327445829,0.12271586958799108,0.1321833042556152,4447045295.672505,4440753174.147394,66686.17019796913,66638.97638880264
off_lei,0.14596361543819059,0.1457275864562272,0.08391837273837244,0.08372326128063057,69791417.75721711,70308276.48212004,8354.125792518156,8385.003069893299
off_medi,0.02166721811452632,0.021473930375235817,-0.04148051436569622,-0.038693801570214736,1206400354.543461,1206759017.8400643,34733.27445754951,34738.43718188923
off_sani,0.3949070685415019,0.3942527693648995,0.4198009073382042,0.41945199499302765,15801196.606937414,15801195.851062411,3975.0718995934417,3975.0718045165436
on_acc,0.05157480578102269,0.05157480578103546,0.013897873079887435,0.013897872878307016,3609084.185698353,3609084.185694044,1899.7589809495187,1899.7589809483843
on_cul,0.21217110614466672,0.21215785504195972,0.18241917883958836,0.18252805900059232,9345414.801274212,9339010.911993794,3057.027118177759,3055.9795339618677
on_food,0.05947466302842974,0.05935427667677606,0.033591936248972165,0.030983880550930376,158646861.72058603,158646910.28725597,12595.509585585889,12595.511513521631
on_lei,0.018954198197293826,0.01899397288627458,0.029131505402971603,0.028814008385003143,331252.01137541764,331324.97847883974,575.5449690297168,575.6083551155592
on_sani,0.046486193503981754,0.04637056376568105,0.05360603040156231,0.05180121941597404,79041791.2980863,79041806.60120048,8890.545050675257,8890.545911315034
