,Lasso train모델점수,Ridge train모델점수,Lasso test모델점수,Ridge test모델점수,Lasso MSE,Ridge MSE,Lasso RMSE,Ridge RMSE
off_acc,0.4238573584063783,0.42375180188757966,0.343564527054805,0.3439779291539471,788117.9493392791,789130.5943513615,887.7600741975723,888.3302282098485
off_cul,0.33530120828927856,0.3343356349915876,0.3250284397575225,0.3275430252468443,5929776.066819782,5929772.200355489,2435.113152775407,2435.112358876996
off_food,0.35806460473008206,0.3556443913449895,-0.1924583418610355,-0.1359210167409175,4337444434.643607,4313339228.751731,65859.2775138295,65676.01715049209
off_lei,0.19844901856867303,0.1982664034357995,0.015337576461557312,0.013383684786434702,80214900.24323504,81410814.33910297,8956.277141939894,9022.794153647914
off_medi,0.010026762545079837,0.009823617799710083,-0.022424419249617022,-0.018339089449682433,978264111.4149108,978697452.1186949,31277.213933068124,31284.14058462682
off_sano,0.4473852692151764,0.44657598603113846,0.2951454244095396,0.30029625890631284,21704368.872221526,21704349.993708342,4658.794787519786,4658.792761403789
on_acc,0.04911870791071227,0.049116555531008466,0.046631510867747306,0.04668988809986807,3222206.8946882994,3218493.50767968,1795.0506663290314,1794.0160277098084
on_cul,0.1073367634809328,0.10702114256359097,0.005215164816104401,0.006941035847897847,6280123.555327776,6256294.94914947,2506.0174690787326,2501.2586729783607
on_food,0.06016144319735428,0.059821084335870967,0.10248021513790395,0.10100939278916399,159016924.6027971,159016948.83658355,12610.191299214976,12610.19226009594
on_lei,0.04968086889324952,0.04967505605008027,-0.011420491527097676,-0.011244335729112986,361314.5580266497,364074.30351701303,601.0944668075474,603.3857004578523
on_sani,0.08304534608460501,0.08288077925359594,-0.0381881954512262,-0.03802736798971762,108035660.55964343,108035656.62394637,10394.02042328393,10394.020233958869
